book_name,author_name,subgenres,summary,rating,release_date
Dune,Frank Herbert,Space Opera; Political SF,"On the desert planet Arrakis, control over the spice melange triggers a clash of prophecy, politics, and power.","Four and a half out of Five",1965
Neuromancer,William Gibson,Cyberpunk,"A washed-out hacker is drawn into a dangerous AI heist across cyberspace and corporate intrigue.","Four out of Five",1984
The Left Hand of Darkness,Ursula K. Le Guin,Social SF; Planetary SF,"An envoy to the icy world of Winter must navigate a culture without fixed gender amid political tension.","Four out of Five",1969
Foundation,Isaac Asimov,Social SF; Space Opera,"As a galactic empire declines, a Foundation is created to preserve knowledge and guide humanity's future.","Four and a half out of Five",1951
The Hobbit,J.R.R. Tolkien,High Fantasy; Adventure,"Bilbo Baggins sets out on a quest with dwarves and a wizard to reclaim treasure from a dragon.","Four and a half out of Five",1937
A Game of Thrones,George R. R. Martin,Epic Fantasy; Political Intrigue,"Noble houses vie for dominance while danger stirs beyond the Wall and alliances shift.","Four and a half out of Five",1996
Mistborn: The Final Empire,Brandon Sanderson,Epic Fantasy; Heist Fantasy,"In a world ruled by ash and tyranny, a street-thief learns she can wield magical metals to spark revolt.","Four and a half out of Five",2006
The Way of Kings,Brandon Sanderson,Epic Fantasy,"On the storm-battered world of Roshar, heroes, scholars, and soldiers uncover ancient oaths and powers.","Five out of Five",2010
The Fifth Season,N. K. Jemisin,Science Fantasy; Dystopian,"A cataclysmic world fractures, and one woman with earth-shaping power seeks her daughter amid collapse.","Four and a half out of Five",2015
Ender’s Game,Orson Scott Card,Military SF,"A child prodigy is thrust into war-game training to lead humanity’s defense against alien threats.","Four out of Five",1985
Hyperion,Dan Simmons,Space Opera,"Seven pilgrims journey to Hyperion, each bearing secrets and linked to a cosmic mystery and the Shrike.","Four and a half out of Five",1989
Leviathan Wakes,James S. A. Corey,Space Opera; Space Noir,"A missing person, a derelict ship, and political conspiracies spiral into war across the solar system.","Four and a half out of Five",2011
